Date,Close
3/15/2018,130.39
3/16/2018,129.91
3/19/2018,127.84
3/20/2018,129.25
3/21/2018,129.28
3/22/2018,127.02
3/23/2018,124.5
3/26/2018,127.31
3/27/2018,128.04
3/28/2018,129.37
3/29/2018,130.37
4/2/2018,126.59
4/3/2018,128.35
4/4/2018,127.76
4/5/2018,127.4
4/6/2018,125.37
4/9/2018,126.17
4/10/2018,128.26
4/11/2018,127.81
4/12/2018,128.63
4/13/2018,128.53
4/16/2018,128.82
4/17/2018,129.34
4/18/2018,129.07
4/19/2018,128.49
4/20/2018,129.23
4/23/2018,129.07
4/24/2018,129.47
4/25/2018,131.1
4/26/2018,131.61
4/27/2018,131.01
4/30/2018,130.98
5/1/2018,130.97
5/2/2018,130.18
5/3/2018,130.11
5/4/2018,131.32
5/7/2018,131.51
5/8/2018,130.9
5/9/2018,136.29
5/10/2018,138.39
5/11/2018,138.07
5/14/2018,138.14
5/15/2018,136.22
5/16/2018,137.35
5/17/2018,136.67
5/18/2018,136.04
5/21/2018,136.45
5/22/2018,135.74
5/23/2018,134.83
5/24/2018,132.44
5/25/2018,129.96
5/29/2018,126.7
5/30/2018,127.23
5/31/2018,127.23
6/1/2018,131.31
6/4/2018,134.28
6/5/2018,133.46
6/6/2018,136.17
6/7/2018,136.45
6/8/2018,136.21
6/11/2018,137.15
6/12/2018,134.55
6/13/2018,135.41
6/14/2018,135.44
6/15/2018,135.81
6/18/2018,136.52
6/19/2018,136.15
6/20/2018,134.37
6/21/2018,132.66
6/22/2018,131
6/25/2018,128.57
6/26/2018,129.21
6/27/2018,127.11
6/28/2018,129.09
6/29/2018,128.81
7/2/2018,127.93
7/3/2018,127.4
7/5/2018,129.07
7/6/2018,129.56
7/9/2018,130.7
7/10/2018,129.27
7/11/2018,128.06
7/12/2018,129.18
7/13/2018,129.51
7/16/2018,129.51
7/17/2018,131.45
7/18/2018,132.09
7/19/2018,131.77
7/20/2018,131.8
7/23/2018,131.73
7/24/2018,132.58
7/25/2018,132.21
7/26/2018,133.33
7/27/2018,134.46
7/30/2018,134.98
7/31/2018,131.84
8/1/2018,131.63
8/2/2018,131.05
8/3/2018,131.3
8/6/2018,128.45
8/7/2018,128.52
8/8/2018,127.09
8/9/2018,125.45
8/10/2018,124.23
8/13/2018,123.5
8/14/2018,123.45
8/15/2018,121.85
8/16/2018,122.76
8/17/2018,123.28
8/20/2018,123.27
8/21/2018,122.57
8/22/2018,123.74
8/23/2018,122.26
8/24/2018,122.84
8/27/2018,126.47
8/28/2018,126.07
8/29/2018,127.48
8/30/2018,125.26
8/31/2018,124.08
9/4/2018,122.01
9/5/2018,120.47
9/6/2018,120.19
9/7/2018,119.3
9/10/2018,119.18
9/11/2018,119.92
9/12/2018,119.91
9/13/2018,121.96
9/14/2018,122.28
9/17/2018,122.48
9/18/2018,125.03
9/19/2018,125.32
9/20/2018,124.95
9/21/2018,124.72
9/24/2018,124
9/25/2018,124.88
9/26/2018,125.14
9/27/2018,124.61
9/28/2018,124.35
10/1/2018,124.82
10/2/2018,125.71
10/3/2018,122.7
10/4/2018,122.18
10/5/2018,121.5
10/8/2018,121.72
10/9/2018,119.92
10/10/2018,117.78
10/11/2018,116.75
10/12/2018,116.76
10/15/2018,115.63
10/16/2018,118.04
10/17/2018,117.73
10/18/2018,116.67
10/19/2018,116.32
10/22/2018,117.1
10/23/2018,117.97
10/24/2018,114.57
10/25/2018,116.66
10/26/2018,117.3
10/29/2018,115.31
10/30/2018,116.24
10/31/2018,117.05
11/1/2018,117.7
11/2/2018,115.46
11/5/2018,115.41
11/6/2018,117.58
11/7/2018,119.31
11/8/2018,117.29
11/9/2018,117.24
11/12/2018,115.57
11/13/2018,115.11
11/14/2018,116.88
11/15/2018,117
11/16/2018,116.96
11/19/2018,117.14
11/20/2018,117.29
11/21/2018,119.25
11/23/2018,119.71
11/26/2018,121.27
11/27/2018,121
11/28/2018,121.58
11/29/2018,121.78
11/30/2018,121.48
12/3/2018,123.51
12/4/2018,120.88
12/6/2018,121.83
12/7/2018,119.97
12/10/2018,120.94
12/11/2018,120.41
12/12/2018,121.89
12/13/2018,120.78
12/14/2018,120.1
12/17/2018,119.55
12/18/2018,120.01
12/19/2018,119.38
12/20/2018,118.45
12/21/2018,113.96
12/24/2018,111.81
12/26/2018,113.72
12/27/2018,115.48
12/28/2018,116.34
12/31/2018,116.08
1/2/2019,116.28
1/3/2019,114.65
1/4/2019,119.73
1/7/2019,121.28
1/8/2019,122.31
1/9/2019,122.92
1/10/2019,124.49
1/11/2019,125.07
1/14/2019,125.39
1/15/2019,126.28
1/16/2019,125.66
1/17/2019,124.92
1/18/2019,125.35
1/22/2019,123.6
1/23/2019,122.47
1/24/2019,122.83
1/25/2019,123.72
1/28/2019,122.48
1/29/2019,122.27
1/30/2019,123.04
1/31/2019,123.17
2/1/2019,122
2/4/2019,122.9
2/5/2019,123.47
2/6/2019,121.05
2/7/2019,118.11
2/8/2019,117.31
2/11/2019,117.15
2/12/2019,119.78
2/13/2019,119.63
2/14/2019,119.25
2/15/2019,121.15
2/19/2019,121.49
2/20/2019,122.79
2/21/2019,121.24
2/22/2019,121.82
2/25/2019,122.41
2/26/2019,123.23
2/27/2019,122.32
2/28/2019,121.04
3/1/2019,120.34
3/4/2019,118.42
3/5/2019,118.26
3/6/2019,117.98
3/7/2019,117.24
3/8/2019,117.71
3/11/2019,119.13
3/12/2019,118.76
3/13/2019,119.31
3/14/2019,117.7
3/15/2019,118.97
3/18/2019,119.51
3/19/2019,119.73
3/20/2019,119.67
3/21/2019,120.44
3/22/2019,120.22
3/25/2019,120.49
3/26/2019,121.77
3/27/2019,121.03
3/28/2019,119.07
3/29/2019,118.02
4/1/2019,119.88
4/2/2019,120.65
4/3/2019,121.07
4/4/2019,122.08
4/5/2019,122.54
4/8/2019,122.24
4/9/2019,122.06
4/10/2019,122.18
4/11/2019,121.04
4/12/2019,122.4
4/15/2019,121.97
4/16/2019,121.75
4/17/2019,124.08
4/18/2019,125.16
4/22/2019,124.16
